Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
14-January-2020,1542.45,1550.50,1522.70,1529.05,1533.812830807927957010,297378,9529,456122192.00,132431,44.53,27.80,-13.40
13-January-2020,1547.00,1558.50,1538.65,1543.45,1548.754043073697086191,228910,7469,354525288.00,97350,42.53,19.85,-3.55
10-January-2020,1550.00,1557.75,1540.10,1547.70,1549.546757735864724872,192674,10621,298557372.00,66366,34.44,17.65,-2.30
9-January-2020,1537.25,1549.80,1531.85,1547.95,1542.177288829288333191,258014,16829,397903331.00,97091,37.63,17.95,10.70
8-January-2020,1508.00,1534.45,1508.00,1513.95,1518.193716541953802017,270488,10356,410653182.00,90878,33.60,26.45,5.95
7-January-2020,1520.00,1534.00,1514.45,1525.05,1522.463507456766619070,504240,19393,767686999.00,283958,56.31,19.55,5.05
6-January-2020,1527.00,1528.00,1497.50,1501.50,1510.219035996213015662,453131,18338,684327062.00,198219,43.74,30.50,-25.50
3-January-2020,1534.40,1541.30,1523.40,1537.25,1535.087741148361843275,354087,10840,543554613.00,152201,42.98,17.90,2.85
2-January-2020,1514.00,1540.80,1513.00,1535.35,1523.276102212755528446,726289,13358,1106338677.00,144867,19.95,27.80,21.35
1-January-2020,1516.10,1527.40,1505.35,1509.70,1513.892413708561721800,456824,11005,691582388.00,230445,50.44,22.05,-6.40
31-December-2019,1544.70,1544.70,1509.10,1514.10,1527.064144792462783981,295706,10474,451562030.00,142598,48.22,35.60,-30.60
30-December-2019,1543.00,1547.00,1528.30,1544.20,1537.756116078279340618,371439,11771,571182594.00,195064,52.52,18.70,1.20
27-December-2019,1525.00,1545.80,1521.45,1542.15,1532.595865776789024842,485460,16027,744013989.00,217520,44.81,24.35,17.15
26-December-2019,1545.95,1553.30,1510.95,1515.95,1534.656346427389580081,577183,17878,885777554.00,203746,35.30,42.35,-30.00
24-December-2019,1570.90,1572.15,1542.75,1545.95,1555.902932372219450513,232508,10853,361759879.00,87622,37.69,29.40,-24.95
23-December-2019,1555.00,1577.00,1555.00,1571.00,1562.107792105862131213,1274110,18294,1990297159.00,908038,71.27,22.00,16.00
20-December-2019,1611.20,1617.80,1595.65,1599.40,1607.428344382602308632,315858,13004,507719102.00,93709,29.67,22.15,-11.80
19-December-2019,1574.70,1615.00,1572.35,1605.15,1601.599316726534436982,1024480,13026,1640806468.00,154898,15.12,42.65,30.45
18-December-2019,1562.15,1580.00,1562.00,1575.70,1569.127182866556836902,279220,11780,438131692.00,145552,52.13,18.00,13.55
17-December-2019,1569.80,1579.50,1555.60,1562.15,1563.058919767898433750,320894,12649,501576229.00,144236,44.95,23.90,-7.65
16-December-2019,1589.30,1593.00,1563.60,1566.55,1574.049974068048283162,281506,9740,443104512.00,119165,42.33,29.40,-22.75
13-December-2019,1575.00,1590.00,1572.55,1582.45,1579.036988229754409141,611627,9401,965781656.00,122911,20.10,17.45,7.45
12-December-2019,1567.00,1573.60,1557.25,1567.50,1567.116693911644281373,585429,9350,917435559.00,92629,15.82,16.35,0.50
11-December-2019,1557.50,1575.15,1551.00,1562.60,1564.174840881740093578,615737,8366,963120324.00,105729,17.17,24.15,5.10
10-December-2019,1571.90,1574.80,1554.25,1562.20,1560.597079810230707426,209096,8144,326314607.00,93999,44.95,20.55,-9.70
9-December-2019,1554.15,1577.30,1547.65,1572.55,1566.061350931626463856,307151,12737,481017310.00,121253,39.48,29.65,18.40
